Brand_Id__c,Buffer_Days__c,Cancellation_Email_Template_Customer__c,Cancellation_Email_Template_Internal__c,Confirmation_Email_Template_Name__c,ConnectionReceivedId,ConnectionSentId,Contact_Support__c,CurrencyIsoCode,LastReferencedDate,LastViewedDate,Name,Preferred_Language__c,Reminder_E_mail_Template_Name__c,Rescheduling_Email_Template_Customer__c,Rescheduling_Email_Template_Internal__c
2010,3,00X80000001zCspEAE,00X80000001zCspEAE,00X80000001zCskEAE,,,0,EUR,2017-03-06T13:00:08.000Z,2017-03-06T13:00:08.000Z,RingCentral EU,en_GB,00X80000001zCsuEAE,00X80000001zCskEAE,00X80000001zCskEAE
7310,3,00X80000001zmGrEAI,00X80000001zmGrEAI,00X80000001zmGhEAI,,,0,USD,,,TELUS Business Connect,fr_CA,00X80000001zmFyEAI,00X80000001zmGhEAI,00X80000001zmGhEAI
3610,3,00X80000001zCsfEAE,00X80000001zCsfEAE,00X80000001zCsaEAE,,,,USD,2017-03-13T10:06:19.000Z,2017-03-13T10:06:19.000Z,RingCentral Canada,en_US,00X80000001zCrSEAU,00X80000001zCsaEAE,00X80000001zCsaEAE
1210,3,00X80000001zCsfEAE,00X80000001zCsfEAE,00X80000001zC2yEAE,,,,USD,2017-03-13T10:07:35.000Z,2017-03-13T10:07:35.000Z,RingCentral,en_US,00X80000001zCrSEAU,00X80000001zC2yEAE,00X80000001zC2yEAE
3710,3,00X80000001zCspEAE,00X80000001zCspEAE,00X80000001zCskEAE,,,,USD,2017-03-13T10:07:15.000Z,2017-03-13T10:07:15.000Z,RingCentral UK,en_GB,00X80000001zCsuEAE,00X80000001zCskEAE,00X80000001zCskEAE
3420,3,00X80000001zCGMEA2,00X80000001zCGMEA2,00X80000001zCDcEAM,,,,USD,,,RingCentral Office@Hand from AT&T,en_US,00X80000001zCGREA2,00X80000001zCDcEAM,00X80000001zCDcEAM
7710,3,00X80000001zjqpEAA,00X80000001zjqpEAA,00X80000001zjqoEAA,,,0,GBP,2016-07-22T10:53:58.000Z,2016-07-22T10:53:58.000Z,BT Business,en_US,00X80000001zjqnEAA,00X80000001zjqoEAA,00X80000001zjqoEAA
7310,3,00X80000001zhCjEAI,00X80000001zhCjEAI,00X80000001zhCeEAI,,,0,USD,,,TELUS Business Connect,en_US,00X80000001zeH0EAI,00X80000001zeH2EAI,00X80000001zeH2EAI
5010,3,,,,,,0,AUD,,,RingCentral AU,en_US,,,
6010,3,,,,,,0,USD,,,Avaya Cloud Office,,,,
2020,3,,,,,,0,EUR,,,Unify Office,,,,
2110,3,00X80000001zCspEAE,00X80000001zCspEAE,00X80000001zCskEAE,,,0,EUR,2017-03-06T13:00:08.000Z,2017-03-06T13:00:08.000Z,Rainbow Office,en_GB,00X80000001zCsuEAE,00X80000001zCskEAE,00X80000001zCskEAE
7010,3,,,,,,0,GBP,,,Vodafone,,,,
2030,3,,,,,,0,EUR,,,RingCentral mit Telekom,,,,
2040,3,,,,,,0,EUR,,,Unify Office by RingCentral,,,,
4210,3,,,,,,0,EUR,,,RingCentral mit ecotel,,,,
4710,3,,,,,,0,EUR,,,RingCentral mit 1&1 Connected Calls,,,,
2210,3,,,,,,0,USD,,,RingCentral with Verizon,,,,
4610,3,,,,,,0,CAD,,,RingCentral with Eastlink,,,,
4810,3,,,,,,0,USD,,,RingCentral for Symphony,,,,
4910,3,,,,,,0,USD,,,Frontier plus RingCentral,,,,
2050,3,,,,,,0,CHF,,,RingCentral with Sunrise,,,,
5110,3,,,,,,0,USD,,,Spectrum Business Unified Voice with RingCentral,,,,
5210,3,,,,,,0,USD,,,Spectrum Enterprise Unified Communications with RingCentral,,,,
3000,3,,,,,,0,USD,,,Rise America,,,,
2000,3,,,,,,0,AUD,,,Rise International,,,,
