APPROVAL_TYPE__C,CC_SPECIAL_TERMS__C,FREE_SHIPPING_TERMS_OPTIONS__C,INITIAL_TERM_DISCOUNT__C,INITIAL_TERM_TO_DISCOUNT__C,SPECIAL_TERMS__C,THRESHOLD__C,PRODUCT_CATEGORY__C
Total Discount,,,,,,15.01,Overall Discount Contact Center
Total Discount,,,,,,10.01,Overall Discount One-Time
Total Discount,,,,,,5.01,Overall Discount One-Time
Total Discount,,,,,,15.01,Overall Discount One-Time
Total Discount,,,,,,0.01,Overall Discount Contact Center
Total Discount,,,,,,50.01,Product Recurring Family Discount
Discount,,,,,,80.01,GOA_RC_Office
Discount,,,,,,80.01,GOA_ Limited_Extensions
Discount,,,,,,80.01,Device_Contract
Discount,,,,,,80.01,GOA_RC_Webinar_Rooms
Discount,,,,,,80.01,GOA_RC_Webinar
Discount,,,,,,80.01,RC_Meetings
Discount,,,,,,80.01,GOA_IVN_and_GLIP
Discount,,,,,,80.01,GOA_Live_Reports
Discount,,,,,,80.01,GOA_Minute_Bundles
Discount,,,,,,80.01,GOA_Global_Office
Discount,,,,,,0.01,ProServ
Discount,,,,,,95.01,GOA_Additional_Local_number
Discount,,,,,,50.01,Rental_Phones
Discount,,,,,,0.01,ProServ_Directs
Discount,,,,,,35.01,Default Contact Center
Discount,,,,,,80.01,Default
Discount,,,,,,35.01,GOA_All_Contact_Center
Free Shipping,,2 Day;Overnight,,,,,
Product Removal,,,,,,,EES
Product Removal,,,,,,,EES-CC
Special Term,,,72,83,7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,84,95,8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,96,107,9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,108,119,10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,120,9999,11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,1,11,1 Free Month of Service;2 Free Months of Service;3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,12,23,2 Free Months of Service;3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,24,35,3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,36,47,4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,48,59,5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Special Term,,,60,71,6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,
Total Discount,,,,,,0.01,Overall Discount One-Time
Total Discount,,,,,,25.01,Overall Discount Contact Center
Total Discount,,,,,,0.01,Overall Discount Recurring
Total Discount,,,,,,25.01,Overall Discount Recurring
Total Discount,,,,,,40.01,Overall Discount Recurring
CC Special Term,1 Free Month of Service;2 Free Months of Service;3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,1,11,,,
CC Special Term,2 Free Months of Service;3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,12,23,,,
CC Special Term,3 Free Months of Service;4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,24,35,,,
CC Special Term,4 Free Months of Service;5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,36,47,,,
CC Special Term,5 Free Months of Service;6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,48,59,,,
CC Special Term,6 Free Months of Service;7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,60,71,,,
CC Special Term,7 Free Months of Service;8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,72,83,,,
CC Special Term,8 Free Months of Service;9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,84,95,,,
CC Special Term,9 Free Months of Service;10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,96,107,,,
CC Special Term,10 Free Months of Service;11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,108,119,,,
CC Special Term,11 Free Months of Service;12 Free Months of Service;13 Free Months of Service;14 Free Months of Service;15 Free Months of Service;16 Free Months of Service;17 Free Months of Service;18 Free Months of Service;19 Free Months of Service;20 Free Months of Service;21 Free Months of Service;22 Free Months of Service;23 Free Months of Service;24 Free Months of Service,,120,9999,,,
Auto Renew Removal,,,,,,,
Discount,,,,,,40.01,GOA_Engage_Digital_Standalone
Discount,,,,,,40.01,GOA_Engage_Voice_Standalone
Total Discount,,,,,,30.01,Overall Discount CX
Total Discount,,,,,,20.01,Overall Discount CX
Total Discount,,,,,,35.01,Product CX Recurring Family Discount
Total Discount,,,,,,0.01,Overall Discount CX
