DQ_APPROVAL_STEP__C,DQ_APPROVAL_TYPE__C,DEAL_TYPE__C,BRAND__C,REGION__C,SEGMENT__C,SUB_REGION__C
Level 2_Unified Quoting Approval_2,CC Special Term+++84+95,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 2_Unified Quoting Approval_2,CC Special Term+++96+107,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 2_Unified Quoting Approval_2,CC Special Term+++108+119,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 2_Unified Quoting Approval_2,CC Special Term+++120+9999,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+Default+80.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Total Discount+Product Recurring Family Discount+50.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Discount+GOA_All_Contact_Center+35.01++,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Special Term+++1+11,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Special Term+++12+23,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
Level 3_Unified Quoting Approval_3,Special Term+++24+35,Direct;Indirect,Avaya Cloud Office;ATOS;RingCentral;RingCentral Canada;RingCentral UK;RingCentral EU;BT Business;RingCentral AU;Unify Office;Vodafone;AT&T Office@Hand;Default;Rainbow Office;TELUS Business Connect;Vodafone Business with RingCentral,MNL;AU;EU;UK;CA;US;APAC;LATAM;North America;EMEA;Default,SOHO;Small Business;Mid Market;Majors;Enterprise;Signature;Default;SMB;Signature Accounts,North;South;Central;East;West;All;SW;SE;North Central;TOLA;South Central;MidAtlantic;NA Strategic;France;Australia;NYC;NW;NE;FINSERV;Default;FR;Expansion;Geo;Vertical;DE;Ignite
